2015,.709389000
2014,.876415000
2013,.723579000
2012,.762709000
2011,.598252000
2010,.718190000
2009,.822581000
2008,.800504000
2007,.787653000
2006,.727897000
2005,.645015000
2004,.881875000
2003,.802560000
2002,.871122000
2001,.991293000
2000,1.053264000
1999,1.292692000
1998,1.479891000
1997,1.787399000
1996,1.518704000
1995,1.269910000
1994,1.582896000
1993,1.613319000
1992,1.721671000
1991,1.664372000
1990,1.626380000
1989,1.367188000
1988,1.369500000
1987,1.188868000
1986,1.161940000
1985,1.511638000
1984,1.727962000
1983,1.428969000
1982,1.994494000
1981,2.063589000
1980,1.786225000
1979,1.526516000
1978,2.024820000
1977,1.914129000
1976,2.136674000
1975,2.182304000
1974,1.989728000
1973,1.742105000
1972,1.749085000
1971,1.704884000
1970,1.906453000
